序号,种类,标号,值,序号,种类,标号,值
1,电阻,R1,10k,7,电阻,C2,22pF
2,电阻,R2,10k,8,电容,C3,10uF
3,电阻,R3,10k,9,电容,U1,STC89C52
4,电阻,R4,10k,10,电容,K0-K15,非自锁 *16
5,电阻,R5,10k,11,单片机,RN1,220
6,电容,C1,22pF,12,按键,X1,12M
,,,,,排阻,,
,,,,,晶振,,
