序号,种类,标号,值,序号,种类,标号,值
1,电阻,R1,220 *8,6,电容,C3,10uF
2,电阻,R9,10k,7,单片机,U1,AT89C51
3,电阻,R10,10k,8,发光二极管,D1,led 红 *8
4,电容,C1,22pf,9,晶振,X1,12M
5,电容,C2,22pf,,,,
