序号,种类,标号,值,序号,种类,标号,值
1,电阻,R1,10k,6,电容,C3,10uF
2,电阻,R2,10k,7,单片机,U1,STC89C52
3,电阻,R3,10k,8,排阻,RN1,220
4,电容,C1,22pF,9,晶振,X1,12M
5,电容,C2,22pF,,,,
